SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-8-2019,Single Family Residential,51 Avila St,San Francisco,CA,94123,5445000,4,3.5,Marina,3375,2500,1924,76,1613,,Sold,,,http://www.redfin.com/CA/San-Francisco/51-Avila-St-94123/home/979117,San Francisco MLS,480200,N,Y,37.8009447,-122.4406418
PAST SALE,March-22-2019,Single Family Residential,3039-3041 Baker St,San Francisco,CA,94123,3350000,4,4.0,Cow Hollow,,3162,1924,34,,,Sold,,,http://www.redfin.com/CA/San-Francisco/3039-Baker-St-94123/home/148750003,San Francisco MLS,480332,N,Y,37.7991782,-122.4462594
PAST SALE,March-4-2019,Single Family Residential,3430 Kirkham St,San Francisco,CA,94122,1700000,3,2.0,Outer Sunset,1987,2495,1937,52,856,,Sold,,,http://www.redfin.com/CA/San-Francisco/3430-Kirkham-St-94122/home/633769,San Francisco MLS,480842,N,Y,37.7591042,-122.4978228
PAST SALE,February-5-2019,Single Family Residential,210 Casitas Ave,San Francisco,CA,94127,3100000,5,5.0,Sherwood Forest,4315,6412,1931,79,718,,Sold,,,http://www.redfin.com/CA/San-Francisco/210-Casitas-Ave-94127/home/1395331,San Francisco MLS,476131,N,Y,37.7376334,-122.4606563
PAST SALE,February-8-2019,Single Family Residential,2 Allston Way,San Francisco,CA,94127,2121000,3,2.5,West Portal,,3371,1923,76,,,Sold,,,http://www.redfin.com/CA/San-Francisco/2-Allston-Way-94127/home/1156784,San Francisco MLS,480238,N,Y,37.7409435,-122.4616957
PAST SALE,March-12-2019,Single Family Residential,899 Urbano Dr,San Francisco,CA,94127,1815000,3,2.0,Ingleside Terrace,2647,5797,1923,44,686,,Sold,,,http://www.redfin.com/CA/San-Francisco/899-Urbano-Dr-94127/home/1769377,San Francisco MLS,480524,N,Y,37.7242626,-122.463509
PAST SALE,March-22-2019,Single Family Residential,1050 Monterey Blvd,San Francisco,CA,94127,1550000,3,2.0,Monterey Heights,1850,4159,1929,34,838,,Sold,,,http://www.redfin.com/CA/San-Francisco/1050-Monterey-Blvd-94127/home/695769,San Francisco MLS,480674,N,Y,37.7309139,-122.4599266
PAST SALE,April-3-2019,Single Family Residential,1001 Ulloa St,San Francisco,CA,94127,2810000,5,3.0,West Portal,2995,3563,1926,22,938,,Sold,,,http://www.redfin.com/CA/San-Francisco/1001-Ulloa-St-94127/home/1582049,San Francisco MLS,480360,N,Y,37.7412216,-122.4669585
PAST SALE,April-11-2019,Single Family Residential,1150 Holloway Ave,San Francisco,CA,94132,1950000,3,2.0,Ingleside Terrace,2910,5736,1923,14,670,,Sold,,,http://www.redfin.com/CA/San-Francisco/1150-Holloway-Ave-94132/home/815197,San Francisco MLS,481573,N,Y,37.7218109,-122.467843
PAST SALE,April-19-2019,Single Family Residential,115 Pacheco St,San Francisco,CA,94116,2000000,3,2.5,Forest Hill,2328,4987,1927,6,859,,Sold,,,http://www.redfin.com/CA/San-Francisco/115-Pacheco-St-94116/home/1201821,San Francisco MLS,481531,N,Y,37.7456308,-122.4618284
PAST SALE,January-25-2019,Single Family Residential,1337 Vicente St,San Francisco,CA,94116,1295000,3,2.0,Parkside,1667,1875,1947,90,777,,Sold,,,http://www.redfin.com/CA/San-Francisco/1337-Vicente-St-94116/home/1636966,San Francisco MLS,476308,N,Y,37.738847,-122.481438
